,ROI,meanR,pval,session
1,lContA_IPS_1,0.020955022,1.07E-05,RS
2,lContA_PFCl_1,0.010455374,0.001784834,RS
3,lContA_PFCl_2,0.010119936,0.002738217,RS
4,lContB_PFClv_1,0.011414365,0.000255255,RS
5,lContC_Cingp_1,0.004881525,0.00320044,RS
6,lContC_pCun_1,0.008542224,0.019309516,RS
7,lContC_pCun_2,0.00284849,0.060684144,RS
8,lDefaultA_pCunPCC_1,0.006430748,0.000170845,RS
9,lDefaultA_PFCd_1,0.013502773,0.000653364,RS
10,lDefaultA_PFCm_1,0.01299078,0.000162642,RS
11,lDefaultB_IPL_1,0.011565997,0.000122896,RS
12,lDefaultB_PFCd_1,0.020681629,2.28E-05,RS
13,lDefaultB_PFCl_1,0.003901173,0.335279551,RS
14,lDefaultB_PFCv_1,0.021228067,4.17E-06,RS
15,lDefaultB_PFCv_2,0.011338231,0.000223483,RS
16,lDefaultB_Temp_1,0.013664848,1.18E-06,RS
17,lDefaultB_Temp_2,0.007496123,0.017897846,RS
18,lDefaultC_PHC_1,0.010879594,0.000142389,RS
19,lDefaultC_Rsp_1,0.011136387,0.00121592,RS
20,lDorsAttnA_ParOcc_1,0.006936696,0.016029529,RS
21,lDorsAttnA_SPL_1,0.012879461,0.000691276,RS
22,lDorsAttnA_TempOcc_1,0.008197109,0.000133845,RS
23,lDorsAttnB_FEF_1,0.011029196,0.001540874,RS
24,lDorsAttnB_PostC_1,0.012988689,8.03E-05,RS
25,lDorsAttnB_PostC_2,0.011743406,0.004708571,RS
26,lDorsAttnB_PostC_3,0.008773346,0.000221074,RS
27,lLimbicA_TempPole_1,0.00777788,6.58E-05,RS
28,lLimbicA_TempPole_2,0.006286667,0.000643177,RS
29,lLimbicB_OFC_1,0.014519369,0.000712277,RS
30,lSalVentAttnA_FrMed_1,0.013822903,0.003538716,RS
31,lSalVentAttnA_Ins_1,0.011550181,0.000212352,RS
32,lSalVentAttnA_Ins_2,0.015273003,0.000173212,RS
33,lSalVentAttnA_ParMed_1,0.012181618,0.000550906,RS
34,lSalVentAttnA_ParOper_1,0.007987187,0.0002824,RS
35,lSalVentAttnB_PFCl_1,0.015419796,0.000606185,RS
36,lSalVentAttnB_PFCmp_1,0.017219518,3.88E-05,RS
37,lSomMotA_1,0.023141623,1.03E-08,RS
38,lSomMotA_2,0.018819409,9.75E-06,RS
39,lSomMotB_Aud_1,0.009013658,0.001576023,RS
40,lSomMotB_Cent_1,0.009383343,0.002536997,RS
41,lSomMotB_S2_1,0.0068977,0.003133955,RS
42,lSomMotB_S2_2,0.01523586,2.35E-05,RS
43,lTempPar_1,0.008701095,0.010405292,RS
44,lVisCent_ExStr_1,0.010988092,4.50E-05,RS
45,lVisCent_ExStr_2,0.00400177,0.019350984,RS
46,lVisCent_ExStr_3,0.012038082,0.012735155,RS
47,lVisCent_Striate_1,0.00361751,0.026717653,RS
48,lVisPeri_ExStrInf_1,0.006066696,0.003272471,RS
49,lVisPeri_ExStrSup_1,0.008068744,0.012425792,RS
50,lVisPeri_StriCal_1,0.007726372,0.214303109,RS
51,rContA_IPS_1,0.012232883,0.004590865,RS
52,rContA_PFCl_1,0.013650171,0.001557512,RS
53,rContA_PFCl_2,0.016967475,5.45E-05,RS
54,rContB_IPL_1,0.013028163,0.000833685,RS
55,rContB_PFCld_1,0.018269309,0.00218264,RS
56,rContB_PFClv_1,0.012449766,0.000151227,RS
57,rContB_Temp_1,0.008416279,0.000206957,RS
58,rContC_Cingp_1,0.007001253,0.001400823,RS
59,rContC_pCun_1,0.006894547,0.004417581,RS
60,rDefaultA_IPL_1,0.017219031,5.88E-06,RS
61,rDefaultA_pCunPCC_1,0.006099201,0.004263377,RS
62,rDefaultA_PFCd_1,0.005680508,0.009092092,RS
63,rDefaultA_PFCm_1,0.011099972,0.000412403,RS
64,rDefaultB_PFCd_1,0.007114469,0.000129255,RS
65,rDefaultB_PFCv_1,0.013049416,0.000389851,RS
66,rDefaultB_PFCv_2,0.010601309,0.008347597,RS
67,rDefaultC_PHC_1,0.008825531,2.86E-05,RS
68,rDefaultC_Rsp_1,0.00630497,0.002735239,RS
69,rDorsAttnA_ParOcc_1,0.007573115,0.021685843,RS
70,rDorsAttnA_SPL_1,0.010059448,0.00393396,RS
71,rDorsAttnA_TempOcc_1,0.007390375,6.22E-05,RS
72,rDorsAttnB_FEF_1,0.005533487,0.033957208,RS
73,rDorsAttnB_PostC_1,0.015048324,9.28E-05,RS
74,rDorsAttnB_PostC_2,0.004588132,0.004311803,RS
75,rLimbicA_TempPole_1,0.008023852,0.000197471,RS
76,rLimbicB_OFC_1,0.013931746,0.000434317,RS
77,rSalVentAttnA_FrMed_1,0.010170665,0.000481095,RS
78,rSalVentAttnA_Ins_1,0.019054828,3.40E-06,RS
79,rSalVentAttnA_ParMed_1,0.022626037,7.52E-05,RS
80,rSalVentAttnA_ParOper_1,0.013329364,1.34E-05,RS
81,rSalVentAttnB_IPL_1,0.013949939,0.003519321,RS
82,rSalVentAttnB_PFCl_1,0.010884474,0.009861295,RS
83,rSalVentAttnB_PFCmp_1,0.012910938,0.000158844,RS
84,rSomMotA_1,0.016987252,8.15E-05,RS
85,rSomMotA_2,0.014969166,1.23E-05,RS
86,rSomMotA_3,0.008086737,0.008565799,RS
87,rSomMotA_4,0.013865164,0.000259692,RS
88,rSomMotB_Aud_1,0.011818627,0.000149218,RS
89,rSomMotB_Cent_1,0.011108652,0.00017464,RS
90,rSomMotB_S2_1,0.008777905,6.78E-05,RS
91,rSomMotB_S2_2,0.006611239,0.001115559,RS
92,rTempPar_1,0.01305597,1.58E-05,RS
93,rTempPar_2,0.009817102,4.84E-05,RS
94,rTempPar_3,0.011241565,7.69E-05,RS
95,rVisCent_ExStr_1,0.01300279,6.14E-06,RS
96,rVisCent_ExStr_2,0.005761108,0.015673472,RS
97,rVisCent_ExStr_3,0.005815404,0.006746101,RS
98,rVisPeri_ExStrInf_1,0.004069713,0.012024292,RS
99,rVisPeri_ExStrSup_1,0.00714236,0.011665919,RS
100,rVisPeri_StriCal_1,0.009809095,0.03207854,RS
101,lContA_IPS_1,0.013160857,0.014888418,FI
102,lContA_PFCl_1,0.008142045,0.06925892,FI
103,lContA_PFCl_2,0.007275653,0.015910764,FI
104,lContB_PFClv_1,0.013053595,0.000605679,FI
105,lContC_Cingp_1,0.007142629,0.002742908,FI
106,lContC_pCun_1,0.004414631,0.071844348,FI
107,lContC_pCun_2,0.016813851,0.004388665,FI
108,lDefaultA_pCunPCC_1,0.012461552,0.003284785,FI
109,lDefaultA_PFCd_1,0.00994899,0.006097889,FI
110,lDefaultA_PFCm_1,0.010403937,0.003232812,FI
111,lDefaultB_IPL_1,0.006767412,0.025266035,FI
112,lDefaultB_PFCd_1,0.011698553,5.55E-05,FI
113,lDefaultB_PFCl_1,0.001843852,0.292494652,FI
114,lDefaultB_PFCv_1,0.016384634,2.04E-05,FI
115,lDefaultB_PFCv_2,0.014499589,0.000153583,FI
116,lDefaultB_Temp_1,0.022788661,1.99E-08,FI
117,lDefaultB_Temp_2,0.010828975,0.00533962,FI
118,lDefaultC_PHC_1,0.006331415,0.016713991,FI
119,lDefaultC_Rsp_1,0.008182333,0.004631982,FI
120,lDorsAttnA_ParOcc_1,0.005103486,0.039613275,FI
121,lDorsAttnA_SPL_1,0.007586624,0.007509051,FI
122,lDorsAttnA_TempOcc_1,0.01333648,3.53E-06,FI
123,lDorsAttnB_FEF_1,0.01662404,0.000226518,FI
124,lDorsAttnB_PostC_1,0.009265373,0.048301131,FI
125,lDorsAttnB_PostC_2,0.014675518,0.024577564,FI
126,lDorsAttnB_PostC_3,0.020360581,0.000797369,FI
127,lLimbicA_TempPole_1,0.017341534,5.41E-08,FI
128,lLimbicA_TempPole_2,0.01414671,0.001373448,FI
129,lLimbicB_OFC_1,0.011311556,0.005520928,FI
130,lSalVentAttnA_FrMed_1,0.012836016,0.013377848,FI
131,lSalVentAttnA_Ins_1,0.014485375,2.33E-05,FI
132,lSalVentAttnA_Ins_2,0.010730057,0.001462367,FI
133,lSalVentAttnA_ParMed_1,0.006477755,0.10303317,FI
134,lSalVentAttnA_ParOper_1,0.018006693,8.53E-05,FI
135,lSalVentAttnB_PFCl_1,0.004482003,0.039050621,FI
136,lSalVentAttnB_PFCmp_1,0.008784261,0.002430882,FI
137,lSomMotA_1,0.019314847,2.14E-07,FI
138,lSomMotA_2,0.016303405,1.88E-05,FI
139,lSomMotB_Aud_1,0.007781312,0.007443786,FI
140,lSomMotB_Cent_1,0.007107237,0.010068084,FI
141,lSomMotB_S2_1,0.003204956,0.071373751,FI
142,lSomMotB_S2_2,0.010872491,0.007048254,FI
143,lTempPar_1,0.005334628,0.02669097,FI
144,lVisCent_ExStr_1,0.014536833,3.23E-06,FI
145,lVisCent_ExStr_2,0.007972799,0.013891889,FI
146,lVisCent_ExStr_3,0.007786135,0.019497611,FI
147,lVisCent_Striate_1,0.010096608,0.002352104,FI
148,lVisPeri_ExStrInf_1,0.012342411,5.78E-05,FI
149,lVisPeri_ExStrSup_1,0.01007384,0.000547918,FI
150,lVisPeri_StriCal_1,0.013893055,0.000860156,FI
151,rContA_IPS_1,0.018677028,0.002324979,FI
152,rContA_PFCl_1,0.00701616,0.009912791,FI
153,rContA_PFCl_2,0.003738187,0.055250969,FI
154,rContB_IPL_1,0.018316115,0.00062825,FI
155,rContB_PFCld_1,0.00224205,0.28125512,FI
156,rContB_PFClv_1,0.010002509,0.004990817,FI
157,rContB_Temp_1,0.014799377,2.89E-05,FI
158,rContC_Cingp_1,0.010562662,0.001861747,FI
159,rContC_pCun_1,0.009968957,0.025783239,FI
160,rDefaultA_IPL_1,0.01771849,0.001357231,FI
161,rDefaultA_pCunPCC_1,0.014561162,0.000383997,FI
162,rDefaultA_PFCd_1,0.006947747,0.016148774,FI
163,rDefaultA_PFCm_1,0.008980883,0.002384414,FI
164,rDefaultB_PFCd_1,0.008249187,0.006336605,FI
165,rDefaultB_PFCv_1,0.016038457,1.69E-05,FI
166,rDefaultB_PFCv_2,0.007732358,0.010034072,FI
167,rDefaultC_PHC_1,0.010540556,1.32E-05,FI
168,rDefaultC_Rsp_1,0.00903738,0.002283208,FI
169,rDorsAttnA_ParOcc_1,0.009255427,0.005501943,FI
170,rDorsAttnA_SPL_1,0.003006422,0.232928394,FI
171,rDorsAttnA_TempOcc_1,0.018239334,4.52E-07,FI
172,rDorsAttnB_FEF_1,0.012801201,0.002691411,FI
173,rDorsAttnB_PostC_1,0.015085331,0.017756311,FI
174,rDorsAttnB_PostC_2,0.012548409,0.04577116,FI
175,rLimbicA_TempPole_1,0.01221835,9.91E-07,FI
176,rLimbicB_OFC_1,0.011865899,0.002482242,FI
177,rSalVentAttnA_FrMed_1,0.008587007,0.006964864,FI
178,rSalVentAttnA_Ins_1,0.011598102,0.000220354,FI
179,rSalVentAttnA_ParMed_1,0.006099171,0.03216324,FI
180,rSalVentAttnA_ParOper_1,0.003939163,0.03727666,FI
181,rSalVentAttnB_IPL_1,0.00877824,0.05048856,FI
182,rSalVentAttnB_PFCl_1,0.008344034,0.001571077,FI
183,rSalVentAttnB_PFCmp_1,0.012449434,0.000280198,FI
184,rSomMotA_1,0.010663747,0.001001409,FI
185,rSomMotA_2,0.019848355,5.20E-05,FI
186,rSomMotA_3,0.017083837,0.00563807,FI
187,rSomMotA_4,0.019339511,2.22E-05,FI
188,rSomMotB_Aud_1,0.007106936,0.004729738,FI
189,rSomMotB_Cent_1,0.007663538,0.028677592,FI
190,rSomMotB_S2_1,0.007006895,0.001315774,FI
191,rSomMotB_S2_2,0.008573122,0.048287468,FI
192,rTempPar_1,0.006738641,0.000638029,FI
193,rTempPar_2,0.020977187,0.001438136,FI
194,rTempPar_3,0.014171403,0.001455409,FI
195,rVisCent_ExStr_1,0.012549772,2.45E-06,FI
196,rVisCent_ExStr_2,0.018762817,7.07E-06,FI
197,rVisCent_ExStr_3,0.017929509,0.00022916,FI
198,rVisPeri_ExStrInf_1,0.005713644,0.005712325,FI
199,rVisPeri_ExStrSup_1,0.012823219,3.80E-05,FI
200,rVisPeri_StriCal_1,0.019856763,1.27E-05,FI
201,lContA_IPS_1,0.009258234,0.005415092,WM
202,lContA_PFCl_1,0.017157719,3.58E-05,WM
203,lContA_PFCl_2,0.016393815,1.09E-06,WM
204,lContB_PFClv_1,0.020739426,1.06E-08,WM
205,lContC_Cingp_1,0.012017385,3.15E-06,WM
206,lContC_pCun_1,0.005681776,0.009557709,WM
207,lContC_pCun_2,0.00777703,0.006151672,WM
208,lDefaultA_pCunPCC_1,0.01104209,9.82E-05,WM
209,lDefaultA_PFCd_1,0.016002542,0.003109993,WM
210,lDefaultA_PFCm_1,0.017781599,6.90E-07,WM
211,lDefaultB_IPL_1,0.013957398,3.97E-05,WM
212,lDefaultB_PFCd_1,0.027048073,4.27E-06,WM
213,lDefaultB_PFCl_1,0.010895204,3.31E-05,WM
214,lDefaultB_PFCv_1,0.016088737,8.62E-07,WM
215,lDefaultB_PFCv_2,0.014872503,5.18E-08,WM
216,lDefaultB_Temp_1,0.017718942,1.19E-09,WM
217,lDefaultB_Temp_2,0.009430806,3.46E-05,WM
218,lDefaultC_PHC_1,0.014580219,4.17E-06,WM
219,lDefaultC_Rsp_1,0.007558059,0.00075911,WM
220,lDorsAttnA_ParOcc_1,0.014238834,0.000458771,WM
221,lDorsAttnA_SPL_1,0.005062152,0.001314523,WM
222,lDorsAttnA_TempOcc_1,0.015599933,3.35E-07,WM
223,lDorsAttnB_FEF_1,0.006450294,0.012682178,WM
224,lDorsAttnB_PostC_1,0.009522813,0.004386686,WM
225,lDorsAttnB_PostC_2,0.013833399,0.012351851,WM
226,lDorsAttnB_PostC_3,0.014907722,6.99E-05,WM
227,lLimbicA_TempPole_1,0.010416239,1.12E-06,WM
228,lLimbicA_TempPole_2,0.008335132,0.000112747,WM
229,lLimbicB_OFC_1,0.026377324,4.29E-09,WM
230,lSalVentAttnA_FrMed_1,0.011202313,0.000794469,WM
231,lSalVentAttnA_Ins_1,0.014337565,3.48E-05,WM
232,lSalVentAttnA_Ins_2,0.014558135,1.12E-05,WM
233,lSalVentAttnA_ParMed_1,0.011144393,0.000604975,WM
234,lSalVentAttnA_ParOper_1,0.017111627,1.67E-05,WM
235,lSalVentAttnB_PFCl_1,0.017741434,1.78E-06,WM
236,lSalVentAttnB_PFCmp_1,0.017018775,3.55E-08,WM
237,lSomMotA_1,0.022990388,1.34E-10,WM
238,lSomMotA_2,0.020370814,4.28E-05,WM
239,lSomMotB_Aud_1,0.021109784,1.09E-06,WM
240,lSomMotB_Cent_1,0.009131313,0.000202459,WM
241,lSomMotB_S2_1,0.016239653,4.32E-06,WM
242,lSomMotB_S2_2,0.020418951,4.66E-08,WM
243,lTempPar_1,0.008524534,0.006080864,WM
244,lVisCent_ExStr_1,0.013081386,6.90E-07,WM
245,lVisCent_ExStr_2,0.011511433,0.003544546,WM
246,lVisCent_ExStr_3,0.016954494,0.000491501,WM
247,lVisCent_Striate_1,0.008902291,0.005011044,WM
248,lVisPeri_ExStrInf_1,0.014814468,2.17E-06,WM
249,lVisPeri_ExStrSup_1,0.011719984,3.12E-05,WM
250,lVisPeri_StriCal_1,0.005583501,0.004306577,WM
251,rContA_IPS_1,0.006717142,0.42790279,WM
252,rContA_PFCl_1,0.017363069,1.38E-05,WM
253,rContA_PFCl_2,0.011555442,7.98E-05,WM
254,rContB_IPL_1,0.021469205,4.44E-05,WM
255,rContB_PFCld_1,0.012743583,0.003079022,WM
256,rContB_PFClv_1,0.018554545,9.90E-08,WM
257,rContB_Temp_1,0.016847386,3.40E-08,WM
258,rContC_Cingp_1,0.009607095,2.87E-05,WM
259,rContC_pCun_1,0.009417519,0.000553175,WM
260,rDefaultA_IPL_1,0.011486452,7.86E-06,WM
261,rDefaultA_pCunPCC_1,0.01613217,1.06E-05,WM
262,rDefaultA_PFCd_1,0.009712864,0.000341968,WM
263,rDefaultA_PFCm_1,0.021102355,1.84E-07,WM
264,rDefaultB_PFCd_1,0.016673842,3.52E-05,WM
265,rDefaultB_PFCv_1,0.023643289,1.02E-08,WM
266,rDefaultB_PFCv_2,0.017897612,1.12E-07,WM
267,rDefaultC_PHC_1,0.011966509,2.94E-07,WM
268,rDefaultC_Rsp_1,0.009394338,8.42E-05,WM
269,rDorsAttnA_ParOcc_1,0.012109437,1.20E-06,WM
270,rDorsAttnA_SPL_1,0.013532159,0.030244854,WM
271,rDorsAttnA_TempOcc_1,0.017875885,7.12E-09,WM
272,rDorsAttnB_FEF_1,0.010003552,0.003832336,WM
273,rDorsAttnB_PostC_1,0.011818684,0.013035021,WM
274,rDorsAttnB_PostC_2,0.014279217,0.005975201,WM
275,rLimbicA_TempPole_1,0.012667351,7.93E-07,WM
276,rLimbicB_OFC_1,0.025100955,2.25E-08,WM
277,rSalVentAttnA_FrMed_1,0.017162869,1.24E-07,WM
278,rSalVentAttnA_Ins_1,0.018892792,1.00E-07,WM
279,rSalVentAttnA_ParMed_1,0.017538173,2.70E-05,WM
280,rSalVentAttnA_ParOper_1,0.012368498,0.000605253,WM
281,rSalVentAttnB_IPL_1,0.022602286,1.22E-05,WM
282,rSalVentAttnB_PFCl_1,0.012456618,2.09E-05,WM
283,rSalVentAttnB_PFCmp_1,0.016837095,1.94E-08,WM
284,rSomMotA_1,0.014801527,3.91E-06,WM
285,rSomMotA_2,0.026578471,4.34E-11,WM
286,rSomMotA_3,0.013668822,0.007275958,WM
287,rSomMotA_4,0.023587608,3.28E-08,WM
288,rSomMotB_Aud_1,0.020220638,7.81E-08,WM
289,rSomMotB_Cent_1,0.026418357,6.86E-07,WM
290,rSomMotB_S2_1,0.017154765,1.65E-06,WM
291,rSomMotB_S2_2,0.015020914,1.58E-06,WM
292,rTempPar_1,0.01115669,2.55E-07,WM
293,rTempPar_2,0.011257772,1.45E-05,WM
294,rTempPar_3,0.008897426,0.000704385,WM
295,rVisCent_ExStr_1,0.015604341,1.72E-08,WM
296,rVisCent_ExStr_2,0.013928419,1.05E-05,WM
297,rVisCent_ExStr_3,0.010668686,6.63E-06,WM
298,rVisPeri_ExStrInf_1,0.007989871,4.53E-05,WM
299,rVisPeri_ExStrSup_1,0.01502115,3.14E-06,WM
300,rVisPeri_StriCal_1,0.008345715,0.000151921,WM