,ROI,Delta,,,,,
1,lContA_IPS_1,0.926762795,,,,,
2,lContA_PFCl_1,0.821468334,,,,,
3,lContA_PFCl_2,1.612654136,,,,,
4,lContB_PFClv_1,0.440774359,,,,,
5,lContC_Cingp_1,0.538265523,,,,,
6,lContC_pCun_1,0.197542396,,,,,
7,lContC_pCun_2,1.933188745,,,,,
8,lDefaultA_pCunPCC_1,0.609862651,,,,,
9,lDefaultA_PFCd_1,0.584588786,,,,,
10,lDefaultA_PFCm_1,0.970896117,,,,,
11,lDefaultB_IPL_1,0.595909691,,,,,
12,lDefaultB_PFCd_1,-0.016004917,,,,,
13,lDefaultB_PFCl_1,0.16047993,,,,,
14,lDefaultB_PFCv_1,1.796600657,,,,,
15,lDefaultB_PFCv_2,1.370797344,,,,,
16,lDefaultB_Temp_1,0.82833179,,,,,
17,lDefaultB_Temp_2,0.402980156,,,,,
18,lDefaultC_PHC_1,-0.328499379,,,,,
19,lDefaultC_Rsp_1,0.923571565,,,,,
20,lDorsAttnA_ParOcc_1,-0.089005785,,,,,
21,lDorsAttnA_SPL_1,-0.181458155,,,,,
22,lDorsAttnA_TempOcc_1,-1.126529604,,,,,
23,lDorsAttnB_FEF_1,0.557321538,,,,,
24,lDorsAttnB_PostC_1,1.187359724,,,,,
25,lDorsAttnB_PostC_2,0.752429761,,,,,
26,lDorsAttnB_PostC_3,-0.424417172,,,,,
27,lLimbicA_TempPole_1,1.13096149,,,,,
28,lLimbicA_TempPole_2,1.230451643,,,,,
29,lLimbicB_OFC_1,1.265091026,,,,,
30,lSalVentAttnA_FrMed_1,0.372156388,,,,,
31,lSalVentAttnA_Ins_1,0.82939814,,,,,
32,lSalVentAttnA_Ins_2,1.227281583,,,,,
33,lSalVentAttnA_ParMed_1,0.966849773,,,,,
34,lSalVentAttnA_ParOper_1,1.276168812,,,,,
35,lSalVentAttnB_PFCl_1,2.337697411,,,,,
36,lSalVentAttnB_PFCmp_1,1.161767151,,,,,
37,lSomMotA_1,-0.418504333,,,,,
38,lSomMotA_2,0.126242232,,,,,
39,lSomMotB_Aud_1,0.285159467,,,,,
40,lSomMotB_Cent_1,0.445214778,,,,,
41,lSomMotB_S2_1,0.928510924,,,,,
42,lSomMotB_S2_2,-0.119566197,,,,,
43,lTempPar_1,0.086630793,,,,,
44,lVisCent_ExStr_1,-0.329226865,,,,,
45,lVisCent_ExStr_2,0.257149288,,,,,
46,lVisCent_ExStr_3,0.887643758,,,,,
47,lVisCent_Striate_1,0.364542681,,,,,
48,lVisPeri_ExStrInf_1,-0.09160413,,,,,
49,lVisPeri_ExStrSup_1,0.057729048,,,,,
50,lVisPeri_StriCal_1,-0.448464151,,,,,
51,rContA_IPS_1,0.036382365,,,,,
52,rContA_PFCl_1,0.164345877,,,,,
53,rContA_PFCl_2,1.135953506,,,,,
54,rContB_IPL_1,0.724744305,,,,,
55,rContB_PFCld_1,0.037175684,,,,,
56,rContB_PFClv_1,1.113001993,,,,,
57,rContB_Temp_1,0.619770049,,,,,
58,rContC_Cingp_1,0.342054881,,,,,
59,rContC_pCun_1,0.818227326,,,,,
60,rDefaultA_IPL_1,0.375139258,,,,,
61,rDefaultA_pCunPCC_1,0.748376455,,,,,
62,rDefaultA_PFCd_1,0.374434142,,,,,
63,rDefaultA_PFCm_1,0.91320886,,,,,
64,rDefaultB_PFCd_1,0.411238632,,,,,
65,rDefaultB_PFCv_1,1.382805805,,,,,
66,rDefaultB_PFCv_2,0.155465966,,,,,
67,rDefaultC_PHC_1,-1.452603395,,,,,
68,rDefaultC_Rsp_1,0.975695215,,,,,
69,rDorsAttnA_ParOcc_1,0.366016713,,,,,
70,rDorsAttnA_SPL_1,0.734358999,,,,,
71,rDorsAttnA_TempOcc_1,0.963997815,,,,,
72,rDorsAttnB_FEF_1,0.712090102,,,,,
73,rDorsAttnB_PostC_1,1.021534154,,,,,
74,rDorsAttnB_PostC_2,0.672977822,,,,,
75,rLimbicA_TempPole_1,1.152710891,,,,,
76,rLimbicB_OFC_1,1.238788545,,,,,
77,rSalVentAttnA_FrMed_1,0.978472874,,,,,
78,rSalVentAttnA_Ins_1,1.366335811,,,,,
79,rSalVentAttnA_ParMed_1,0.842052749,,,,,
80,rSalVentAttnA_ParOper_1,0.539467593,,,,,
81,rSalVentAttnB_IPL_1,0.859024225,,,,,
82,rSalVentAttnB_PFCl_1,1.767093087,,,,,
83,rSalVentAttnB_PFCmp_1,0.885596583,,,,,
84,rSomMotA_1,0.106358076,,,,,
85,rSomMotA_2,0.721271658,,,,,
86,rSomMotA_3,0.563740673,,,,,
87,rSomMotA_4,0.526401851,,,,,
88,rSomMotB_Aud_1,0.630349206,,,,,
89,rSomMotB_Cent_1,0.567130459,,,,,
90,rSomMotB_S2_1,0.604305443,,,,,
91,rSomMotB_S2_2,0.971520382,,,,,
92,rTempPar_1,0.569759196,,,,,
93,rTempPar_2,0.184933418,,,,,
94,rTempPar_3,-0.398885866,,,,,
95,rVisCent_ExStr_1,0.430955827,,,,,
96,rVisCent_ExStr_2,1.144331675,,,,,
97,rVisCent_ExStr_3,-1.69105491,,,,,
98,rVisPeri_ExStrInf_1,0.57917733,,,,,
99,rVisPeri_ExStrSup_1,0.552921034,,,,,
100,rVisPeri_StriCal_1,-0.024324868,,,,,